gene_id	Sample_116498	Sample_116499	Sample_116500	Sample_116501	Sample_116502	Sample_116503	Sample_116504	Sample_116505	Sample_116506	Sample_116507	Sample_116508	Sample_116509
ENSMUSG00000000001	8256	6680	7532	5122	6684	8047	6446	5559	5443	5906	5771	4792
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	226	244	199	193	293	382	2297	2138	2344	2357	2531	2225
ENSMUSG00000000031	1	2	2	0	2	0	9	5	2	1	8	12
ENSMUSG00000000037	29	11	22	16	13	15	32	51	54	28	25	31
ENSMUSG00000000049	0	0	1	8	4	2	2	0	3	4	1	0
ENSMUSG00000000056	2697	2173	2410	1616	2271	2566	2384	3776	3408	1147	1284	1083
ENSMUSG00000000058	4	7	3	9	5	12	13	11	9	10	9	15
ENSMUSG00000000078	11121	8672	8592	8767	7875	9980	11341	11997	8664	7719	6017	4311
ENSMUSG00000000085	1373	1007	1052	859	990	1184	637	689	699	552	693	603
ENSMUSG00000000088	2116.98	1810.98	2026.93	1798.94	2217.95	2541.97	3821.93	2903.93	3145.94	4243.98	3632.94	2582.94
ENSMUSG00000000093	30	33	30	17	16	19	11	19	14	9	20	20
ENSMUSG00000000094	0	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	4	0	0	2	3	9	0	0	6
ENSMUSG00000000125	89	71	72	108	72	87	30	26	18	42	52	30
ENSMUSG00000000126	0	0	1	1	3	3	0	2	3	1	0	6
ENSMUSG00000000127	11	8	11	30	14	16	29	114	103	11	40	55
ENSMUSG00000000131	15859	13566	13319	9295	11106	13668	13531	11083	11333	9069	12012	9298
ENSMUSG00000000134	2190	1858	1960	1947	2175	2667	2086	1785	1909	1576	1888	1577
ENSMUSG00000000142	5935.82	4853.93	5298.97	4478.97	4697.94	6583.87	3914.9	2643.46	2802.9	2082.99	2836.92	2935.97
ENSMUSG00000000148	3340	2638	2779	1829	2276	2901	1992	1522	1662	1609	1741	1456
ENSMUSG00000000149	1989.79	1606.13	1737.06	1530.28	1795.04	1982.74	1462.62	1564.62	1609.19	1269.66	1437.82	1475.49
ENSMUSG00000000154	0	0	5	0	0	2	1	2	8	0	2	1
ENSMUSG00000000157	1	0	0	0	1	1	208	511	566	3	2	28
ENSMUSG00000000159	0	0	0	0	0	0	0	5	4	1	0	1
ENSMUSG00000000167	21	11	11	12	13	8.01	22.06	22	21	12.02	15	14.01
ENSMUSG00000000168	1961	1605	1634	1370	1652	2177	1970	1688	1761	1884	1933	1784
ENSMUSG00000000171	2291	1866	2131	1729	2278	2731	3039	2469	2621	3598	3006	2405
ENSMUSG00000000182	1	8	0	5	4	6	8	3	2	4	16	3
ENSMUSG00000000183	1	4	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000184	51843.57	43258.88	45042.6	36666.84	40224.55	54876.53	45503.74	30528.92	31342.99	31132.86	33714.7	26404.85
ENSMUSG00000000194	4128.07	3747.23	3517.86	2745.73	3238.82	3872.41	2802.53	2639.29	2610.04	2100	2458.58	2050.87
ENSMUSG00000000197	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202	0	12	6	6	0	3	2	7	2	1	2	0
ENSMUSG00000000204	7.1	6.07	5.03	5.07	6.02	3.03	248.29	580.66	786.65	1.01	6.06	34.12
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	2	1	2	1	2	1	20	44	37	23	32	41
ENSMUSG00000000244	13319.36	10925.88	12073.7	8051.31	10716.2	13052.25	4443.42	3934.63	3888	3925.82	4008.63	3759
ENSMUSG00000000247	1	3	1	10	10	6	40	42	35	50	58	34
ENSMUSG00000000248	0	0	0	1	0	1	1	4	6	0	3	5
ENSMUSG00000000253	5	10.12	4	14.58	12.6	24.73	23.9	40	31.41	8	33.55	52.41
ENSMUSG00000000263	2	3	0	0	2	4	3	1	6	5	1	3
ENSMUSG00000000266	8	14	21	76	25	29	16	42	26	23	44	46
ENSMUSG00000000275	11557	8658	9391	5801	7478	9602	8958	6918	7595	6606	7191	5815
ENSMUSG00000000276	2007	1513	1527	995	1191	1464	1258	1070	885	730	1044	1048
ENSMUSG00000000278	476	418	497	383	567	597	826	879	900	790	850	728
ENSMUSG00000000282	6151	4962	4968	3593	3631	4658	3873	3042	3280	2722	3242	3125
ENSMUSG00000000290	33191.95	28663	30965	27210	30535	37058	36001.96	25526.98	28676.99	35271	31638	26088
ENSMUSG00000000295	919.15	685	731	552	718	912.11	806	603	627	907	765	578
ENSMUSG00000000296	6	3	0	1	0	2	1	0	1	1	0	0
ENSMUSG00000000301	102	77	64	56	63	76	92	63	61	86	75	45
ENSMUSG00000000303	70	87	94	409	177	254	62	57	75	46	50	81
ENSMUSG00000000305	1	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000000308	1	0	3	1	2	0	0	2	3	4	6	12
ENSMUSG00000000317	17	14	10	6	13	19	11	20	21	15	13	28
ENSMUSG00000000318	0	3	0	1	0	0	6	30.65	26.82	0	9.59	22.53
ENSMUSG00000000320	13	13	9	13	13	8	12	18	17	8	9	14
ENSMUSG00000000325	269.45	226.14	186.38	140.1	216.11	212.57	178.15	170.15	161.06	94.29	128.4	176.34
ENSMUSG00000000326	982.49	850.86	872.43	822.9	923.35	1044.5	1081.81	1407.1	1508.94	1144.25	1177.86	1065.18
ENSMUSG00000000339	906	677	928	635	852	1018	1160	1017	1088	1257	1324	978
ENSMUSG00000000340	1288	1108	1170	887	1121	1428	1180	917	907	1203	967	867
ENSMUSG00000000346	15649.43	12156.47	13770.52	10990.38	12857.23	16081.76	13149.02	10551.59	10957.79	12133.81	10770.53	9533
ENSMUSG00000000355	466	310	363	276	379	405	481	492	393	506	488	385
ENSMUSG00000000359	0	0	0	0	0	0	2	0	2	0	0	0
ENSMUSG00000000365	13	8	2	23	11	4	7	9	7	8	15	34
ENSMUSG00000000374	7323	5869	6329	4563	5348	6906	6672	6324	6255	4279	5433	4614
ENSMUSG00000000378	14511	10990	12084	8644	10840	13378	6742	5015	4853	5371	5171	4471
ENSMUSG00000000381	7	5	4	1	0	3	4	1	3	1	4	5
ENSMUSG00000000384	3102.56	2351	2617.36	1801	2301.04	2994	3808.04	2910.8	3188.88	3094.55	3934	3269
ENSMUSG00000000385	90	52	47	37	42	48	68	40	40	37	75	38
ENSMUSG00000000386	363.48	204	196.85	282.67	250.47	441.81	964.02	723.54	870.82	693.9	959.09	681.61
ENSMUSG00000000392	9	7	2	0	2	7	11	11	8	7	12	11
ENSMUSG00000000394	0	0	8	2	0	2	277	104	142	625	672	358
ENSMUSG00000000399	3693	2848	3482	2359	3162.99	4001	4267.99	3192	3565	5145	3974	3029
ENSMUSG00000000402	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000409	56592	44601	48038	33628	41825	49718	51366	34151	38180	54828	42288	33999
ENSMUSG00000000411	39	25	26	28	19	18	44	41	33	10	10	8
ENSMUSG00000000416	0	0	0	0	0	0	1	7	7	1	2	0
ENSMUSG00000000420	8503.23	7081.91	7252.05	5319.07	6494.78	8089.94	7612.36	7231.17	6876.78	6609.81	6911.24	5938.8
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	3519.61	2785.1	2586.83	2046.18	2379.15	2813.4	2585.54	2220.43	2164.66	2002.47	2298.34	1784.2
ENSMUSG00000000440	10	16	11	26	15	9	23	51	27	27	14	42
ENSMUSG00000000441	6856.1	5402.85	6069.2	4593.19	5240.92	6949.2	6103.29	4923.58	5130.37	5170.26	5552.65	4184.81
ENSMUSG00000000486	30077	24985	27403	21090	26062	33262	28224	18280	20674	27669	22158	19110
ENSMUSG00000000489	337	233	220	229	276	381	342	310	332	287	306	390
ENSMUSG00000000530	1895	1490	1779	608	962	1582	1173	789	821	512	396	274
ENSMUSG00000000531	446	376	362	326	421	534	595	379	459	514	434	430
ENSMUSG00000000532	4546	3501	3601	2369	2786	3590	2202	1671	1552	1303	1473	1261
ENSMUSG00000000538	2541	2141	2067	1423	1598.16	2198	1388	1223	1170.72	731.54	1154.75	1006
ENSMUSG00000000544	0	0	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000000552	26	26	17	12	13	15	78	167	242	24	131	262
ENSMUSG00000000555	724	511	568	213	356	487	506	637	688	257	408	534
ENSMUSG00000000560	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	2578.73	2014.78	2323.93	1644.58	2091.07	2697.84	2760.62	2252.19	2216.45	2363.31	2677.63	2179.48
ENSMUSG00000000562	6	8	10	0	2	0	10	36	27	4	3	15
ENSMUSG00000000563	6668.33	5451.88	6113.51	4467.69	5849.8	7693.35	7936.48	6558.84	6840.25	9486.56	7514.81	6483.76
ENSMUSG00000000567	0	0	0	0	0	0	0	1	0	1	0	0
