"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"1/2-SBSRNA4",5.43579011489111,5.48933764660018,5.54946632356109,5.52271614945645,5.56944856951372,5.46418681040317,5.41284105585501,5.53827837421435
"A1BG",5.82553546243494,5.81807076220865,6.04674720169056,5.98810276994219,5.93370902543835,5.96797351368928,5.92075050756078,5.88415023770488
"A1BG-AS1",7.41468848508689,7.49910294829415,7.48043480402788,7.43294918218162,7.41892985421966,7.50148117644225,7.46592188108791,7.4335141150681
"A1CF",-1.73094986757598,-1.72428342453786,-1.72494797901833,-1.73006491250107,-1.72863530876832,-1.73006919289521,-1.72966193003267,-1.7289925484153
"A2LD1",6.5028178982292,6.46996409260285,6.60104871098301,6.58562790684392,6.4390334380842,6.44188762367143,6.45289954780662,6.37585710867914
"A2M",2.55518358142308,2.5819237358772,2.51043593030207,2.53720981116319,2.52845279890597,2.56938796629963,2.5710728350612,2.54587698650623
"A2ML1",1.28619590041056,1.28884538251126,1.31551934478101,1.31022714258279,1.29636071944017,1.28534433274247,1.27891831265256,1.27130155513682
"A2MP1",0.284304031772052,0.286128672522288,0.302200635596728,0.294412268120596,0.325199658484831,0.285436006117377,0.305827933619289,0.298719196115233
"A4GALT",5.78456451953339,5.82551378271395,6.10776823277381,6.18517562087553,6.13943661962817,5.84710840247566,5.91377368625413,5.89080365483402
"A4GNT",-2.09065322613947,-2.08951563249226,-2.09006969325839,-2.08991541020232,-2.08430306534448,-2.08991897890667,-2.08957943056223,-2.08902134525448
"AAA1",-2.09001000250574,-2.08934635838227,-2.0870908093641,-2.08957957885483,-2.08888424948111,-2.08958166074907,-2.08938357660543,-2.0890580033783
"AAAS",10.5098322703529,10.5070900401528,10.5078916573578,10.5532289809843,10.4017757548986,10.5250871382225,10.498930417938,10.5301046802683
"AACS",9.87928731028393,9.8560456218153,9.68095864785624,9.74875711148668,9.63253066017783,9.72350288026762,9.69062621522084,9.73618421961391
"AACSP1",0.486995896393258,0.49206450859879,0.50595406044506,0.481377398357686,0.496181761261027,0.490137197105581,0.491751004209186,0.517185917994326
"AADACL4",-1.73075509439062,-1.72949673644898,-1.72521991409883,-1.72504925271255,-1.72862051622022,-1.72994290118016,-1.7295673071736,-1.72894997682823
"AADAT",9.08000050746896,9.11878206645167,9.00335583777169,9.03338537518583,9.08235059933269,9.02060465871634,9.07172752859919,9.0918281765348
"AAGAB",11.4572447984682,11.38349374823,11.2058865891299,11.167754213333,11.2297655766293,11.4388926057977,11.4356678949303,11.4156834968427
"AAK1",10.5418237655018,10.5439533928465,10.5849025194703,10.5156414775695,10.5548102382173,10.5507437816484,10.6473281489527,10.5450225338879
"AAMP",11.6643402491343,11.6570508980444,11.4731336895575,11.5198681135298,11.4704113548727,11.7378730921081,11.6922178238794,11.710678144513
"AANAT",2.76163705447337,2.79059293664914,2.81353285523827,2.81935746123116,2.77966908200537,2.77147639156657,2.74310501599858,2.80501718460311
"AARS",11.8180549025217,11.8166083777614,11.9133864135139,11.9363950555234,11.8700025633442,11.8090569790313,11.7963201871248,11.8194956514175
"AARS2",11.3322602741785,11.353037844955,10.9900445739285,10.9877856970705,10.9968229149202,11.1153677576114,11.0944219797546,11.1178093222492
"AARSD1",9.90780513333825,9.84318625922298,9.77431707221156,9.79913551165767,9.74833546352952,9.69046693903335,9.71312403621203,9.65495556794172
"AASDH",9.65648518183265,9.65841469812595,9.6551841921675,9.66805918746486,9.70429146192276,9.5761251457292,9.58475804064323,9.57980359549995
"AASDHPPT",11.7881063172073,11.7577808841974,11.7104731128465,11.6673793099199,11.7582985010832,11.9202633084416,11.8707965387586,11.8661866781699
"AASS",10.0135202964783,10.027654084263,10.0777436378836,9.96047196492626,10.1695463298481,9.89977581833974,9.87649636433942,9.8323145999245
"AATF",11.4489650329402,11.4258898119127,11.2471825160002,11.2101727853861,11.2305789756131,11.4255664384662,11.3983888398651,11.3725609986372
"AATK",7.68858084156625,7.9112571856202,8.12631130051218,8.17051880564824,8.13392036372956,7.96307102853733,8.05953920583184,8.09033100896665
"AATK-AS1",1.30768141492724,1.30435582833987,1.3592268505339,1.30303928734706,1.34383666849114,1.33741382182854,1.32339953574189,1.33990770997191
"ABAT",8.25798054828784,8.28239596636952,8.80097438696674,8.74124235954774,8.68542239011135,8.51478561832314,8.52104118397514,8.59734155909633
"ABCA1",6.39552917665793,6.52171958498035,6.98487461972352,6.90084143222099,6.9124488691186,6.52208887465042,6.64994903785831,6.62951282409382
"ABCA10",4.32877413590079,4.34662122051059,4.30834747109863,4.27416851237254,4.28198277360105,4.30381631406381,4.44783822624828,4.41063375021893
"ABCA11P",7.5898257215081,7.59745538450094,7.62528094883375,7.5707232370429,7.65805221119933,7.65656252300407,7.59665344075854,7.57728385785851
"ABCA12",2.47361796617022,2.50559537256902,2.4601537551322,2.47920484277752,2.52609637982463,2.48759562156235,2.54037686427219,2.51817322870422
"ABCA13",2.22296550207497,2.23242204420337,2.14475372288013,2.15443794725339,2.16862643313024,2.16276823264344,2.16748244904708,2.18661489552893
"ABCA17P",3.49866107528788,3.53071183435605,3.52260719387935,3.55946695278993,3.50039307998276,3.58118911093604,3.53648269575739,3.50187868752094
"ABCA2",9.53031082077179,9.6873464216583,9.82268351324504,9.93063771256249,9.8072818654692,9.64369820439114,9.67421891809087,9.7774547551414
"ABCA3",9.72641848739473,9.71837687395884,9.62939493005405,9.77298020468285,9.61728834944125,9.53630260931356,9.63578033431325,9.64054447714303
